������ �����: Direction [-1,0,0] (m);������ �����: Temperature (K);������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of Nitrogen Oxide Emission;������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of CO;������ �����: Direction [-1,0,0] (m);������ �����: Mass Fraction of CO2
4,474339999999711;1682,530195969302;4,474339999999711;1,3063843241402565E-4;4,474339999999711;0,0010844846132369284;4,474339999999711;0,08452852969443517
4,403159999999707;1705,5549645421986;4,403159999999707;1,3250752830294184E-4;4,403159999999707;0,0012462142216439218;4,403159999999707;0,08626990172327278
4,331979999999703;1716,478767356327;4,331979999999703;1,3131759428262812E-4;4,331979999999703;0,001451211680297925;4,331979999999703;0,0869802621296995
4,2607999999997;1739,5656519591757;4,2607999999997;1,3229314196728E-4;4,2607999999997;0,0017559536231790687;4,2607999999997;0,08865130805607215
4,189619999999697;1746,4569294430269;4,189619999999697;1,3114568515692611E-4;4,189619999999697;0,0019507995545944253;4,189619999999697;0,08905293610023357
4,118439999999694;1770,8906257215967;4,118439999999694;1,3166576037565068E-4;4,118439999999694;0,002427498552935113;4,118439999999694;0,09074382942771005
4,0472599999996905;1795,2466010243984;4,0472599999996905;1,3424281848138845E-4;4,0472599999996905;0,0028044518997148967;4,0472599999996905;0,09251850429599445
3,976079999999686;1787,626280357161;3,976079999999686;1,3124610807519933E-4;3,976079999999686;0,0028892815845290853;3,976079999999686;0,09178939686904611
3,9048999999996834;1795,8327929862314;3,9048999999996834;1,299546660101345E-4;3,9048999999996834;0,0032639325575051126;3,9048999999996834;0,09225358078478488
3,83371999999968;1817,501447818166;3,83371999999968;1,3162906840862587E-4;3,83371999999968;0,003767754130813874;3,83371999999968;0,09378107983667146
3,762539999999677;1818,299825938105;3,762539999999677;1,2939072833750463E-4;3,762539999999677;0,003925712815620819;3,762539999999677;0,09374995076735233
3,6913599999996736;1827,7730170945608;3,6913599999996736;1,2823901913571188E-4;3,6913599999996736;0,004128634690357025;3,6913599999996736;0,09443192989618507
3,62017999999967;1831,5998552655617;3,62017999999967;1,2364966511886277E-4;3,62017999999967;0,0045675220499714455;3,62017999999967;0,09454738017376572
3,5489999999996673;1860,0633122058562;3,5489999999996673;1,224218533876088E-4;3,5489999999996673;0,005457340079776262;3,5489999999996673;0,0965270641683887
3,4778199999996637;1866,689553341432;3,4778199999996637;1,1770475204886704E-4;3,4778199999996637;0,005808007473764472;3,4778199999996637;0,09693265071849332
3,4066399999996593;1885,1781818071072;3,4066399999996593;1,1638801826657088E-4;3,4066399999996593;0,006798496287407093;3,4066399999996593;0,09803005707831913
3,3354599999996566;1925,1412518737225;3,3354599999996566;1,1537069760818929E-4;3,3354599999996566;0,008616872603978625;3,3354599999996566;0,1006021976596614
3,264279999999653;1944,9028029964584;3,264279999999653;1,1359804885759299E-4;3,264279999999653;0,009948982193013252;3,264279999999653;0,10168576409975219
3,1930999999996503;1956,01402657494;3,1930999999996503;1,1090267398669931E-4;3,1930999999996503;0,01125914730515936;3,1930999999996503;0,10202499607054967
3,1219199999996468;1980,0680979236135;3,1219199999996468;1,1026696247241304E-4;3,1219199999996468;0,01389198448222182;3,1219199999996468;0,10282370944627343
3,050739999999643;2011,101756852664;3,050739999999643;1,1047443898291018E-4;3,050739999999643;0,016777997511787417;3,050739999999643;0,10410826032756727
2,9795599999996405;2032,6003606386334;2,9795599999996405;1,1248088098370062E-4;2,9795599999996405;0,02040135635107568;2,9795599999996405;0,10414260944543895
2,908379999999636;2047,2671618156699;2,908379999999636;1,1000145306934244E-4;2,908379999999636;0,024235707831969336;2,908379999999636;0,10329459122764467
2,8371999999996333;2063,366861257505;2,8371999999996333;1,0888092218608237E-4;2,8371999999996333;0,028828371813549657;2,8371999999996333;0,10293554157254374
2,7660199999996298;2078,9750537649425;2,7660199999996298;1,036361845645413E-4;2,7660199999996298;0,03539287237228078;2,7660199999996298;0,1022565070053012
2,694839999999626;2081,319694120339;2,694839999999626;9,939351158676593E-5;2,694839999999626;0,039893325788321186;2,694839999999626;0,10135309531116767
2,6236599999996244;2081,5885802369653;2,6236599999996244;8,834837120438665E-5;2,6236599999996244;0,05225135084231965;2,6236599999996244;0,09768732931151744
2,552479999999619;2069,0286593232254;2,552479999999619;8,120877783360987E-5;2,552479999999619;0,05882983683772063;2,552479999999619;0,09474646038244838
2,4812999999996155;2053,6821133826043;2,4812999999996155;7,319317627351174E-5;2,4812999999996155;0,06828355743338267;2,4812999999996155;0,09040939844365256
2,4101199999996137;2020,540948128076;2,4101199999996137;6,227943769470403E-5;2,4101199999996137;0,0798484777814374;2,4101199999996137;0,08435263175647385
2,33893999999961;1988,499046575974;2,33893999999961;5,327918070914332E-5;2,33893999999961;0,08896789131660639;2,33893999999961;0,07927070573605041
2,2677599999996065;1949,0188865869563;2,2677599999996065;4,3130266677315175E-5;2,2677599999996065;0,09866620727381095;2,2677599999996065;0,07377979168849437
2,196579999999603;1889,961121887702;2,196579999999603;3,173340892236508E-5;2,196579999999603;0,10875436923904253;2,196579999999603;0,06691508080613119
2,1253999999995994;1866,575727637823;2,1253999999995994;2,655547137333699E-5;2,1253999999995994;0,11102797578885752;2,1253999999995994;0,06213200377014186
2,054219999999596;1808,9201240015932;2,054219999999596;1,978410085610322E-5;2,054219999999596;0,11433344581081867;2,054219999999596;0,05452951057545631
1,9830399999995922;1780,9281475064686;1,9830399999995922;1,6898285080363785E-5;1,9830399999995922;0,11438040711378933;1,9830399999995922;0,05028584444366874
1,9118599999995904;1738,4491945028485;1,9118599999995904;1,473205231948542E-5;1,9118599999995904;0,10972094820773995;1,9118599999995904;0,04294410627153603
1,8406799999995869;1697,0018579812076;1,8406799999995869;1,1915322513761425E-5;1,8406799999995869;0,09770131909213031;1,8406799999995869;0,03335754062254735
1,7694999999995833;1630,3785948101724;1,7694999999995833;9,35001491048536E-6;1,7694999999995833;0,0941197576615494;1,7694999999995833;0,02865233453359473
1,6983199999995797;1516,8300536105637;1,6983199999995797;8,053354751378222E-6;1,6983199999995797;0,08388137872471672;1,6983199999995797;0,023452795241719636
1,6271399999995761;1496,4174917536782;1,6271399999995761;7,15544212453723E-6;1,6271399999995761;0,08224525408118719;1,6271399999995761;0,022722395479241354
1,5559599999995726;1395,567849970564;1,5559599999995726;6,194034495432725E-6;1,5559599999995726;0,07263359190032792;1,5559599999995726;0,01922714077166209
1,484779999999569;1325,947459890332;1,484779999999569;5,446209461527701E-6;1,484779999999569;0,06652295570726158;1,484779999999569;0,01697353685719767
1,4135999999995654;1274,6913005628774;1,4135999999995654;4,409677428137807E-6;1,4135999999995654;0,062024399568768575;1,4135999999995654;0,015292940733714441
1,3424199999995636;1222,6646591237122;1,3424199999995636;3,9430035732778585E-6;1,3424199999995636;0,05759471232301178;1,3424199999995636;0,013690199045550366
1,27123999999956;1149,011198983414;1,27123999999956;3,0241757850847333E-6;1,27123999999956;0,05086657957377194;1,27123999999956;0,011535486142279443
1,2000599999995565;1197,5067824509415;1,2000599999995565;2,951849930962932E-6;1,2000599999995565;0,055256995712697175;1,2000599999995565;0,012892214565747866
1,128879999999553;1082,3524305576882;1,128879999999553;2,297291084188204E-6;1,128879999999553;0,044624291060756244;1,128879999999553;0,009946829511003667
1,0576999999995493;958,6937621051401;1,0576999999995493;1,6076809688497173E-6;1,0576999999995493;0,03287453224630462;1,0576999999995493;0,007930970795508384
0,9865199999995475;865,2560659226223;0,9865199999995475;1,1745421065019104E-6;0,9865199999995475;0,02523822010256225;0,9865199999995475;0,006900014250335823
0,9153399999995422;779,804883937965;0,9153399999995422;8,160682149609505E-7;0,9153399999995422;0,019251728081978777;0,9153399999995422;0,00599779666893773
0,8441599999995386;699,0620644385154;0,8441599999995386;5,162972348033898E-7;0,8441599999995386;0,014311801269664191;0,8441599999995386;0,005160869957636289
0,7729799999995368;646,4585682448803;0,7729799999995368;3,4668446658304865E-7;0,7729799999995368;0,011358994457114104;0,7729799999995368;0,004620379195775325
0,7017999999995332;573,8204040665465;0,7017999999995332;1,8855782828289894E-7;0,7017999999995332;0,007591902813309797;0,7017999999995332;0,0036644454336342736
0,6306199999995297;481,2291326720103;0,6306199999995297;9,927009199132926E-8;0,6306199999995297;0,0036441376095537803;0,6306199999995297;0,0012538976984447097
0,5594399999995261;436,72059853932905;0,5594399999995261;8,908716765985487E-8;0,5594399999995261;0,001749481070203847;0,5594399999995261;2,4287855093565615E-4
