#"Position [0.0  1.0  0.0] (m)-point 3 (m)" "Mass Fraction of CH4-point 3"
0.000000e+00 3.683262e-08 
9.450000e-01 2.416113e-08 
1.890000e+00 3.362586e-10 
2.835000e+00 2.374003e-11 
3.780000e+00 4.828069e-11 
4.725000e+00 9.001955e-10 
5.670000e+00 2.089804e-08 
6.615000e+00 4.389454e-08 
7.560000e+00 4.642359e-08 
8.505000e+00 3.951443e-08 
9.450000e+00 1.353058e-08 
1.039500e+01 3.088577e-09 
1.134000e+01 2.845117e-10 
1.228500e+01 1.467830e-10 
1.323000e+01 7.625333e-11 
1.417500e+01 3.670790e-11 
1.512000e+01 1.560666e-11 
1.606500e+01 5.535268e-12 
1.701000e+01 1.221437e-12 
1.795500e+01 1.221437e-12 
