#"Position [0.0  1.0  0.0] (m)-point 1 (m)" "Mass Fraction of CH4-point 1"
0.000000e+00 4.124238e-02 
9.450000e-01 2.936583e-02 
1.890000e+00 5.653679e-03 
2.835000e+00 2.988072e-05 
3.780000e+00 4.188179e-07 
4.725000e+00 5.145706e-07 
5.670000e+00 4.509321e-07 
6.615000e+00 1.934266e-07 
7.560000e+00 8.258249e-09 
8.505000e+00 1.080766e-09 
9.450000e+00 5.742069e-10 
1.039500e+01 3.081140e-10 
1.134000e+01 7.713926e-11 
1.228500e+01 3.453667e-11 
1.323000e+01 1.407460e-11 
1.417500e+01 5.125117e-12 
1.512000e+01 1.620230e-12 
1.606500e+01 4.224943e-13 
1.701000e+01 6.919365e-14 
1.795500e+01 6.919365e-14 
