Датчик линии: Direction [-1,0,0] (m);Датчик линии: Temperature (K);Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of Nitrogen Oxide Emission;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO;Датчик линии: Direction [-1,0,0] (m);Датчик линии: Mass Fraction of CO2
1,5559599999995726;1446,6562441627646;1,5559599999995726;6,107988506618552E-6;1,5559599999995726;0,07619197511327407;1,5559599999995726;0,017950442453081868
1,484779999999569;1404,512913172164;1,484779999999569;5,617206489174619E-6;1,484779999999569;0,07239313538173042;1,484779999999569;0,01654686484082093
1,4135999999995654;1256,38752162756;1,4135999999995654;4,230827384534764E-6;1,4135999999995654;0,0589305675673523;1,4135999999995654;0,011651966713907818
1,3424199999995636;1238,6600640560234;1,3424199999995636;4,1955721011650855E-6;1,3424199999995636;0,05750196795059376;1,3424199999995636;0,011124791719479403
1,27123999999956;1085,8915032787042;1,27123999999956;2,9340549187329323E-6;1,27123999999956;0,04332104885992083;1,27123999999956;0,0070173637441014805
1,2000599999995565;1104,2711757083355;1,2000599999995565;2,699020393784855E-6;1,2000599999995565;0,04486513097921073;1,2000599999995565;0,007418034468067086
1,128879999999553;1028,8317230862167;1,128879999999553;2,192041156953874E-6;1,128879999999553;0,03767881740770883;1,128879999999553;0,005974938522738292
1,0576999999995493;840,0005107030744;1,0576999999995493;1,0090359036931693E-6;1,0576999999995493;0,02116084776920827;1,0576999999995493;0,003763825656735545
0,9865199999995475;750,6849835327595;0,9865199999995475;5,704821584218196E-7;0,9865199999995475;0,014952500110102188;0,9865199999995475;0,002899290596731923
0,9153399999995422;697,2793615254191;0,9153399999995422;3,892452219391492E-7;0,9153399999995422;0,011626336579652227;0,9153399999995422;0,0023774935551659484
0,8441599999995386;651,7972714765305;0,8441599999995386;2,9094493319365723E-7;0,8441599999995386;0,008959760207771969;0,8441599999995386;0,0019057555026817607
0,7729799999995368;614,2837629369955;0,7729799999995368;2,308806102168577E-7;0,7729799999995368;0,006795562373234911;0,7729799999995368;0,0015041802883628684
0,7017999999995332;542,3270048580655;0,7017999999995332;1,3890604877993685E-7;0,7017999999995332;0,0026759347889987375;0,7017999999995332;6,457129638145961E-4
0,6306199999995297;487,5999901108966;0,6306199999995297;5,972966823679589E-8;0,6306199999995297;5,301661039941157E-4;0,6306199999995297;1,2900078581490608E-4
0,5594399999995261;528,7048702544021;0,5594399999995261;4,455147827990089E-8;0,5594399999995261;0,0020227889158012853;0,5594399999995261;4,8425875967298657E-4
0,4882599999995225;537,6185708178704;0,4882599999995225;4,478026486534864E-8;0,4882599999995225;0,002406408615543072;0,4882599999995225;5,782047276470884E-4
0,41707999999951895;539,164165955831;0,41707999999951895;4,301743857398377E-8;0,41707999999951895;0,002388399612665552;0,41707999999951895;5,74772777098821E-4
0,3458999999995154;553,5615664297748;0,3458999999995154;4,699213287551818E-8;0,3458999999995154;0,0030004872942530603;0,3458999999995154;7,338757598021327E-4
0,2747199999995118;554,4910032474556;0,2747199999995118;4,75509010097188E-8;0,2747199999995118;0,0029896680640240573;0,2747199999995118;7,300788394918888E-4
0,20353999999951;554,8176707693109;0,20353999999951;4,8432533028008145E-8;0,20353999999951;0,002963132789122496;0,20353999999951;7,213977289155896E-4
0,13235999999950643;554,0860177965172;0,13235999999950643;4,912060689780602E-8;0,13235999999950643;0,0029192281605870006;0,13235999999950643;7,090392387008568E-4
0,061179999999502854;553,5993111932672;0,061179999999502854;4,916279642617769E-8;0,061179999999502854;0,002903856071691225;0,061179999999502854;7,051074724348995E-4
10,595819999999998;707,9047945739261;10,595819999999998;1,9484530239578344E-5;10,595819999999998;0,003520815812264484;10,595819999999998;0,015284937456917254
10,524639999999994;709,9474854081162;10,524639999999994;1,9390110895210087E-5;10,524639999999994;0,00391579451866822;10,524639999999994;0,014936185607872922
10,45345999999999;714,1816406413636;10,45345999999999;1,92614551187253E-5;10,45345999999999;0,004267695842198789;10,45345999999999;0,014760660308516478
10,382279999999987;714,8390614841444;10,382279999999987;1,897738408441427E-5;10,382279999999987;0,004431281884388468;10,382279999999987;0,014609097059871571
10,311099999999985;720,3161360192018;10,311099999999985;1,8606586821557185E-5;10,311099999999985;0,004691940519277776;10,311099999999985;0,014612592204745072
10,239919999999982;719,1411025459953;10,239919999999982;1,8086962566150002E-5;10,239919999999982;0,0047875880869969354;10,239919999999982;0,014439456739228586
10,168739999999978;725,9902407828222;10,168739999999978;1,7796516929300814E-5;10,168739999999978;0,00492498978627296;10,168739999999978;0,014662657081869547
10,097559999999975;729,5238597177319;10,097559999999975;1,7302890190651872E-5;10,097559999999975;0,005005357253682266;10,097559999999975;0,014771100075193118
10,026379999999971;738,0475474311552;10,026379999999971;1,686664769585131E-5;10,026379999999971;0,005049149140129005;10,026379999999971;0,01520392412868254
9,955199999999968;740,3898297640326;9,955199999999968;1,6395704253255737E-5;9,955199999999968;0,005044975481084498;9,955199999999968;0,015345444877735804
9,884019999999964;750,162175353211;9,884019999999964;1,6294423885484015E-5;9,884019999999964;0,004961243695252221;9,884019999999964;0,015991423410433424
9,812839999999962;756,7607293032113;9,812839999999962;1,6064818377753257E-5;9,812839999999962;0,0048551463637726095;9,812839999999962;0,016486878914447927
9,741659999999959;766,8041806125889;9,741659999999959;1,5891704783506814E-5;9,741659999999959;0,004596063226657743;9,741659999999959;0,01734432573276087
9,670479999999955;780,2901989380252;9,670479999999955;1,6214928041347906E-5;9,670479999999955;0,004195770787504639;9,670479999999955;0,01854157928075661
9,599299999999952;784,7542270042612;9,599299999999952;1,6141920582995156E-5;9,599299999999952;0,003994425565307937;9,599299999999952;0,01901831566911022
